All Spare Parts /SNo,All Spare Parts /Item,All Spare Parts /Current Location,All Spare Parts /New Location,All Spare Parts /Status,All Spare Parts /Unit
291,Push Switch,6SP-05,,No,Pcs
292,Push Switch (Big),6SP-05,,Yes,Pcs
293,Push Switch Element (N0),6SP-05,,No,Pcs
294,Push Switch Element (Nc),6SP-05,,Yes,Pcs
295,Push Switch-S,6SP-05,,Yes,Pcs
296,Switch (220v/15a),6SP-05,,No,Pcs
297,Switch- (Selector) 3way,6SP-05,,Yes,Pcs
298,Thermostar (A/c),6SP-05,,Yes,Pcs
299,Connector 15 Pin,6SP-05,,Found Extra,
300,Togol Switch,6SP-05,,Found Extra,
301,"Allen Bolt 6 ,(8x20mm)",6SP-06,,No,Pcs
302,"Allen Bolt 6 ,(8x35mm)",6SP-06,,Yes,Pcs
303,"Bolt (D13,5mm / L60mm)",6SP-06,,Yes,Pcs
304,Bolt 04mm(L-12mm),6SP-06,,Yes,Pcs
305,Bolt 05mm(L-15.80mm),6SP-06,,Yes,Pcs
306,Bolt 16mm Length 155mm  With nut,6SP-06,,No,Pcs
307,Bolt 6x20mm,6SP-06,,Yes,Pcs
308,Bolt 8x70mm (Hexagonal),6SP-06,,Yes,Pcs
309,Bolt-06mm,6SP-06,,No,Pcs
310,Bolt-12mm,6SP-06,,Yes,Pcs
311,Bolt-18mm,6SP-06,,Yes,Pcs
312,Bolt-4*65Mm,6SP-06,,Yes,Pcs
313,Hex bolt & Nut(4x10) mm,6SP-06,,No,pcs
314,Hex bolt & Nut(4x15) mm,6SP-06,,No,pcs
315,Hex bolt & Nut(4x20) mm,6SP-06,,No,pcs
316,Hex bolt & Nut(6x10)mm,6SP-06,,No,pcs
317,Hex bolt & Nut(6x15) mm,6SP-06,,No,pcs
318,Hex bolt & Nut(6x20) mm,6SP-06,,No,pcs
319,Hex Bolt (10x40 mm),6SP-06,,Yes,Pcs
320,L Key Bolt (6X60)mm,6SP-06,,No,Pcs
321,L-Bolt (D12mm/L85mm),6SP-06,,No,Pcs
322,Lock Nut - 10 mm,6SP-06,,Yes,Pcs
323,Lock Nut -40 mm,6SP-06,,No,Pcs
324,Nut &Bolt With Washer 14 mm,6SP-06,,No,Pcs
325,Nut &Bolt With Washer 16 mm,6SP-06,,No,Pcs
326,Plain Washer -  10mm,6SP-06,,Yes,Pcs
327,Star Screw 3/4 Inch,6SP-06,,Yes,Pcs
328,Washer Dia 9mm ( Hole-4mm Thickness-0.8mm),6SP-06,,Yes,Pcs
329,Screw - 1.5 Inch,6SP-06,,No,pcs
330,Screw - 2 Inch,6SP-06,,No,pcs
331,"Allen Bolt6, (8x2mm)",6SP-06,,Found Extra,
332,Socket Scrch Allen (5x10mm),6SP-06,,Found Extra,
333,BOLT (D12m/l 85mm),6SP-06,,Found Extra,
334,on-off push switch big,6SP-06,,Found Extra,
335,Pvc Tape,6SP-07,,Yes,Pcs
336,Thread Tape,6SP-07,,Yes,Pcs
337,Cable Joint- 16 Rm,6SP-08,,Yes,Pcs
338,Cable Lug 25Rm,6SP-08,,No,Pcs
339,Cable Lugs 2.5 Rm (Round),6SP-08,,Yes,Pcs
340,Cable Lugs 4 Rm ( I Type),6SP-08,,Yes,Pcs
341,Cable Lux - 06 Rm,6SP-08,,No,Pcs
342,Cable Lux - 2.5 RM (U-Type),6SP-08,,Yes,Pcs
343,Cable Lux  6Rm (I Type),6SP-08,,Yes,Pcs
344,Cable Lux (10 Rm),6SP-08,,No,Pcs
345,Cable Lux (Pin),6SP-08,,No,Pcs
346,Cable Lux (U Type),6SP-08,,Yes,Pcs
347,Cable Lux 10Rm (I Type),6SP-08,,Yes,Pcs
348,Cable Lux 120 Rm,6SP-08,,Yes,Pcs
349,Cable Lux 2.5 Rm ( I Type),6SP-08,,Yes,Pcs
350,Cable Lux 240 Rm,6SP-08,,Yes,Pcs
351,Cable Lux 500 Rm,6SP-08,,Yes,Pcs
352,Cable Lux Jack,6SP-08,,Yes,Pcs
353,Cable Lux(16 Rm),6SP-08,,No,Pcs
354,Pin Type,6SP-08,,Found Extra,
355,Starter Holder,6SP-09,,No,Pcs
356,Tube Light Ballast (36 w),6SP-09,,No,Pcs
357,Tube Light Starter,6SP-09,,No,Pcs
358,Tube Light Holder,6SP-09,,No,Pcs
359,Fuse Holder (big),6SP-09,,Found Extra,
360,Royal Bolt 10mm,6SP-09,,Found Extra,
361,Remote (A/c),6SP-10,,Yes,Pcs
362,Room Thermostet (Remort),6SP-10,,No,Pcs
363,Spray foam (Ac),6SP-27,,No,Pcs
364,Spray Paint Dark gray,6SP-10,,No,Pcs
365,Spray Paint light gray,6SP-10,,No,Pcs
366,Spray paint Green color,6SP-10,,No,Pcs
367,"Door Aldrop 6""",6SP-10,,No,Pcs
368,Lacquer Spray,6SP-10,,Found Extra,
369,Finder,6SP-10,,Found Extra,
370,Omron MK-I,6SP-10,,Found Extra,
371,MAX 7A 250V,6SP-10,,Found Extra,
372,Solid State Relay (3-32 V Dc 3Phase) 60A,6SP-11,,No,Pcs
373,Non Retanable Valve,6SP-11,,No,Pcs
374,"Solid State Relay (3-32V DC Input, Output-24-480V) 100A",6SP-11,,No,Pcs
375,Tharmocaple (Stick),6SP-11,,Yes,Pcs
376,Tharmocaple (Thread),6SP-11,,No,Pcs
377,Capacitor 400 VAC 50-60HZ 20UF,6SP-11,,No,pcs
378,NON Retanable Valve,6SP-11,,Found Extra,
379,Belt-(A-77),6SP-11,,Found Extra,
380,Belt-197 Teeth 541/398 Parkins,6SP-011,,No,
381,BATTERY  9 V,6SP-12,,No,Pcs
382,Battery ( LR 44 A76 ),6SP-12,,Yes,Pcs
383,Battery (Pencil),6SP-12,,Yes,Pcs
384,Battery (Remote),6SP-12,,No,Pcs
385,Battery 1.2v,6SP-12,,Yes,Pcs
386,Battery 3 volt,6SP-12,,Yes,Pcs
